Huarmey,10104,-77.15,-10.0833,3602828,3602828*3602828*3599228*3606428*3595628*3610028*3592028*3613628*3602828*3602828*3599228*3606428*3595628*3610028*3592028*3613628*3602829*3602829*3599229*3606429*3595629*3610029*3592029*3613629*3602827*3602827*3599227*3606427*3595627*3610027*3592027*3613627*3602830*3602830*3599230*3606430*3595630*3610030*3592030*3613630*3602826*3602826*3599226*3606426*3595626*3610026*3592026*3613626*3602831*3602831*3599231*3606431*3595631*3610031*3592031*3613631*3602825*3602825*3599225*3606425*3595625*3610025*3592025*3613625*
Julianehaab,10105,-46.0333,60.7166,1054339,1054339*1054339*1050739*1057939*1047139*1061539*1043539*1065139*1054339*1054339*1050739*1057939*1047139*1061539*1043539*1065139*1054340*1054340*1050740*1057940*1047140*1061540*1043540*1065140*1054338*1054338*1050738*1057938*1047138*1061538*1043538*1065138*1054341*1054341*1050741*1057941*1047141*1061541*1043541*1065141*1054337*1054337*1050737*1057937*1047137*1061537*1043537*1065137*1054342*1054342*1050742*1057942*1047142*1061542*1043542*1065142*1054336*1054336*1050736*1057936*1047136*1061536*1043536*1065136*1054343*1054343*1050743*1057943*1047143*1061543*1043543*1065143*1054335*1054335*1050735*1057935*1047135*1061535*1043535*1065135*1054344*1054344*1050744*1057944*1047144*1061544*1043544*1065144*1054334*1054334*1050734*1057934*1047134*1061534*1043534*1065134*
Westport (Ireland),10106,-9.5492,53.8011,1303104,1303104*1303104*1299504*1306704*1295904*1310304*1292304*1313904*1303104*1303104*1299504*1306704*1295904*1310304*1292304*1313904*1303105*1303105*1299505*1306705*1295905*1310305*1292305*1313905*1303103*1303103*1299503*1306703*1295903*1310303*1292303*1313903*1303106*1303106*1299506*1306706*1295906*1310306*1292306*1313906*1303102*1303102*1299502*1306702*1295902*1310302*1292302*1313902*1303107*1303107*1299507*1306707*1295907*1310307*1292307*1313907*1303101*1303101*1299501*1306701*1295901*1310301*1292301*1313901*1303108*1303108*1299508*1306708*1295908*1310308*1292308*1313908*1303100*1303100*1299500*1306700*1295900*1310300*1292300*1313900*
Bude,10110,-4.5478,50.8274,1411154,1411154*1411154*1407554*1414754*1403954*1418354*1400354*1421954*1411154*1411154*1407554*1414754*1403954*1418354*1400354*1421954*1411155*1411155*1407555*1414755*1403955*1418355*1400355*1421955*1411153*1411153*1407553*1414753*1403953*1418353*1400353*1421953*1411156*1411156*1407556*1414756*1403956*1418356*1400356*1421956*1411152*1411152*1407552*1414752*1403952*1418352*1400352*1421952*1411157*1411157*1407557*1414757*1403957*1418357*1400357*1421957*1411151*1411151*1407551*1414751*1403951*1418351*1400351*1421951*1411158*1411158*1407558*1414758*1403958*1418358*1400358*1421958*1411150*1411150*1407550*1414750*1403950*1418350*1400350*1421950*
Pelican,10111,-136.2311,57.9589,1154237,1154237*1154237*1150637*1157837*1147037*1161437*1143437*1165037*1154237*1154237*1150637*1157837*1147037*1161437*1143437*1165037*1154238*1154238*1150638*1157838*1147038*1161438*1143438*1165038*1154236*1154236*1150636*1157836*1147036*1161436*1143436*1165036*1154239*1154239*1150639*1157839*1147039*1161439*1143439*1165039*1154235*1154235*1150635*1157835*1147035*1161435*1143435*1165035*1154240*1154240*1150640*1157840*1147040*1161440*1143440*1165040*1154234*1154234*1150634*1157834*1147034*1161434*1143434*1165034*1154241*1154241*1150641*1157841*1147041*1161441*1143441*1165041*1154233*1154233*1150633*1157833*1147033*1161433*1143433*1165033*1154242*1154242*1150642*1157842*1147042*1161442*1143442*1165042*1154232*1154232*1150632*1157832*1147032*1161432*1143432*1165032*
Leviy Bereg,10112,40.5166,64.5333,918405,918405*918405*914805*922005*911205*925605*907605*929205*918405*918405*914805*922005*911205*925605*907605*929205*918406*918406*914806*922006*911206*925606*907606*929206*918404*918404*914804*922004*911204*925604*907604*929204*918407*918407*914807*922007*911207*925607*907607*929207*918403*918403*914803*922003*911203*925603*907603*929203*918408*918408*914808*922008*911208*925608*907608*929208*918402*918402*914802*922002*911202*925602*907602*929202*918409*918409*914809*922009*911209*925609*907609*929209*918401*918401*914801*922001*911201*925601*907601*929201*918410*918410*914810*922010*911210*925610*907610*929210*918400*918400*914800*922000*911200*925600*907600*929200*918411*918411*914811*922011*911211*925611*907611*929211*918399*918399*914799*921999*911199*925599*907599*929199*
Ramsey,10115,-4.3666,54.3166,1285156,1285156*1285156*1281556*1288756*1277956*1292356*1274356*1295956*1285156*1285156*1281556*1288756*1277956*1292356*1274356*1295956*1285157*1285157*1281557*1288757*1277957*1292357*1274357*1295957*1285155*1285155*1281555*1288755*1277955*1292355*1274355*1295955*1285158*1285158*1281558*1288758*1277958*1292358*1274358*1295958*1285154*1285154*1281554*1288754*1277954*1292354*1274354*1295954*1285159*1285159*1281559*1288759*1277959*1292359*1274359*1295959*1285153*1285153*1281553*1288753*1277953*1292353*1274353*1295953*1285160*1285160*1281560*1288760*1277960*1292360*1274360*1295960*1285152*1285152*1281552*1288752*1277952*1292352*1274352*1295952*
Kawasaki,10121,139.7507,35.5071,1963397,1963397*1963397*1959797*1966997*1956197*1970597*1952597*1974197*1963397*1963397*1959797*1966997*1956197*1970597*1952597*1974197*1963398*1963398*1959798*1966998*1956198*1970598*1952598*1974198*1963396*1963396*1959796*1966996*1956196*1970596*1952596*1974196*1963399*1963399*1959799*1966999*1956199*1970599*1952599*1974199*1963395*1963395*1959795*1966995*1956195*1970595*1952595*1974195*1963400*1963400*1959800*1967000*1956200*1970600*1952600*1974200*1963394*1963394*1959794*1966994*1956194*1970594*1952594*1974194*
Larnaca,10136,33.6428,34.9266,1983936,1983936*1983936*1980336*1987536*1976736*1991136*1973136*1994736*1983936*1983936*1980336*1987536*1976736*1991136*1973136*1994736*1983937*1983937*1980337*1987537*1976737*1991137*1973137*1994737*1983935*1983935*1980335*1987535*1976735*1991135*1973135*1994735*1983938*1983938*1980338*1987538*1976738*1991138*1973138*1994738*1983934*1983934*1980334*1987534*1976734*1991134*1973134*1994734*1983939*1983939*1980339*1987539*1976739*1991139*1973139*1994739*1983933*1983933*1980333*1987533*1976733*1991133*1973133*1994733*
Baytown,10140,-95.0166,29.7333,2169849,2169849*2169849*2166249*2173449*2162649*2177049*2159049*2180649*2169849*2169849*2166249*2173449*2162649*2177049*2159049*2180649*2169850*2169850*2166250*2173450*2162650*2177050*2159050*2180650*2169848*2169848*2166248*2173448*2162648*2177048*2159048*2180648*2169851*2169851*2166251*2173451*2162651*2177051*2159051*2180651*2169847*2169847*2166247*2173447*2162647*2177047*2159047*2180647*2169852*2169852*2166252*2173452*2162652*2177052*2159052*2180652*2169846*2169846*2166246*2173446*2162646*2177046*2159046*2180646*
