Asahi Glass Terminal,10055,41811,140.6899,35.8867,1952606,1959808*1959809*1963403*1963404*1963405*1963406*1963407*1963408*1963409*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
Fukashiba Public Wharf,10055,41799,140.6989,35.9242,1949006,1959808*1959809*1938203*1938204*1938205*1938206*1938207*1938208*1938209*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
Kashima Denkai,10055,41801,140.6942,35.9213,1949006,1959808*1959809*1938203*1938204*1938205*1938206*1938207*1938208*1938209*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
Sumitomo Metal,10055,41802,140.6845,35.9268,1949006,1959808*1959809*1938203*1938204*1938205*1938206*1938207*1938208*1938209*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
Kao Wharf,10055,45600,140.6813,35.889,1952606,1959808*1959809*1963403*1963404*1963405*1963406*1963407*1963408*1963409*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
Tokyo Eletric Power Terminal,10055,45601,140.7007,35.9176,1949007,1959808*1959809*1959810*1938204*1938205*1938206*1938207*1938208*1938209*1938210*1941804*1941805*1941806*1941807*1941808*1941809*1941810*1945404*1945405*1945406*1945407*1945408*1945409*1945410*1949004*1949005*1949006*1949007*1949008*1949009*1949010*1952604*1952605*1952606*1952607*1952608*1952609*1952610*1956204*1956205*1956206*1956207*1956208*1956209*1956210*1959804*1959805*1959806*1959807*
Yonsha Goda Wharf,10055,45602,140.6929,35.8841,1952606,1959808*1959809*1963403*1963404*1963405*1963406*1963407*1963408*1963409*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
Kashima Oil Terminal,10055,38027,140.6878,35.9113,1949006,1959808*1959809*1938203*1938204*1938205*1938206*1938207*1938208*1938209*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
JSR Terminal,10055,45603,140.6989,35.8946,1952606,1959808*1959809*1963403*1963404*1963405*1963406*1963407*1963408*1963409*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
JFE & DIC Nisha Kyodo Wharf,10055,45604,140.6775,35.8939,1952606,1959808*1959809*1963403*1963404*1963405*1963406*1963407*1963408*1963409*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
Exxon LPG Terminal,10096,19075,-3.3149,56.0392,1223966,1216768*1216769*1216770*1216771*1220361*1220362*1220363*1220364*1220365*1220366*1220367*1220368*1220369*1220370*1220371*1223961*1223962*1223963*1223964*1223965*1223966*1223967*1223968*1223969*1223970*1223971*1227561*1227562*1227563*1227564*1227565*1227566*1227567*1227568*1227569*1227570*1227571*1231161*1231162*1231163*1231164*1231165*1231166*1231167*1231168*1231169*1231170*1231171*1234761*1234762*1234763*1234764*1234765*1234766*1234767*1234768*1234769*1234770*1234771*1213161*1213162*1213163*1213164*1213165*1213166*1213167*1213168*1213169*1213170*1213171*1216761*1216762*1216763*1216764*1216765*1216766*1216767*
